sub_id,material_name,substitute_material,quality_level,cost_factor,performance_factor,reason
56,Disinfectant,Hydrogen Peroxide,premium,1.12,1.18,safety
57,Hose,High Pressure Hose,premium,1.1,1.15,durability
58,Hose,Reinforced Rubber Hose,standard,0.95,0.92,availability
59,Brush,Mechanical Brush,premium,1.12,1.2,faster cleaning
60,Brush,Nylon Brush,standard,0.9,0.88,cost saving
61,CPVC Elbow,UPVC Elbow Variant,standard,0.9595,0.909,availability
62,Edge Band,PVC Edge Band Premium Variant,premium,1.0706,1.1312000000000002,finish quality
63,Ceramic Tile,Porcelain Tile Variant,premium,1.0908,1.1918,durability
64,Laminate,Veneer Variant,premium,1.0807,1.1514,better finish
65,Ball Valve,Gate Valve Variant,standard,0.909,0.8584999999999999,cost saving
66,Junction Box,PVC Junction Box Variant,standard,0.9595,0.9292,availability
67,Plywood,MDF Board Variant,standard,0.9292,0.8888,cost reduction
68,CPVC Pipe,PPR Pipe Variant,premium,1.1110000000000002,1.0908,supply shortage
69,Tile Grout,Epoxy Grout Variant,premium,1.1312000000000002,1.1615,chemical resistance
70,UPVC Pipe,CPVC Pipe Variant,standard,0.9595,0.9292,cost reduction
71,CPVC Pipe,PPR Pipe Variant,premium,1.1110000000000002,1.0908,supply shortage
72,Laminate,Veneer Variant Variant,premium,1.091507,1.162914,better finish
73,CPVC Pipe,PPR Pipe Variant Variant,premium,1.1221100000000002,1.101708,supply shortage
74,Plywood,Block Board Variant,premium,1.0605,1.1312000000000002,better strength
75,Switch,Modular Switch Variant,premium,1.1110000000000002,1.1615,client preference
76,UPVC Pipe,CPVC Pipe Variant,standard,0.9595,0.9292,cost reduction
77,Cleaning Chemical - Type 2,Bio Cleaning Chemical Variant,premium,1.1110000000000002,1.1514,eco friendly
78,Plywood,Block Board Variant,premium,1.0605,1.1312000000000002,better strength
79,Ball Valve,Gate Valve Variant,standard,0.909,0.8584999999999999,cost saving
80,PVC Conduit,HDPE Conduit Variant,premium,1.1110000000000002,1.1514,durability
81,Plywood,MDF Board Variant Variant,standard,0.938492,0.897688,cost reduction
82,Edge Band,PVC Edge Band Premium Variant Variant,premium,1.081306,1.1425120000000002,finish quality
83,Adhesive,Tile Adhesive Premium Variant,premium,1.0908,1.1918,bond strength
84,Hose,Reinforced Rubber Hose Variant,standard,0.9595,0.9292,availability
85,CPVC Elbow,UPVC Elbow Variant,standard,0.9595,0.909,availability
86,Tile Adhesive,Cement Mortar Variant,economy,0.707,0.7575000000000001,cost saving
87,Ceramic Tile,Porcelain Tile Variant Variant,premium,1.101708,1.203718,durability
88,Spacer,Plastic Spacer Variant,standard,0.909,0.909,cost saving
89,UPVC Pipe,CPVC Pipe Variant Variant,standard,0.969095,0.938492,cost reduction
90,UPVC Pipe,CPVC Pipe Variant Variant,standard,0.969095,0.938492,cost reduction
91,Socket,Universal Socket Variant,premium,1.1312000000000002,1.1918,compatibility
92,CPVC Elbow,UPVC Elbow Variant Variant,standard,0.969095,0.91809,availability
93,Plywood,MDF Board Variant Variant Variant,standard,0.94787692,0.90666488,cost reduction
94,Adhesive,Fevicol SH Variant,standard,1.01,1.01,availability
95,Copper Wire,Copper Cable Heavy Duty Variant,premium,1.1615,1.2625,high load areas
96,Adhesive,Tile Adhesive Premium Variant,premium,1.0908,1.1918,bond strength
97,CPVC Pipe,GI Pipe Variant,economy,0.8888,0.8584999999999999,cost saving
98,Spacer,Plastic Spacer Variant Variant,standard,0.91809,0.91809,cost saving
99,UPVC Pipe,PPR Pipe Variant,premium,1.0605,1.1110000000000002,hot water usage
100,Hose,Reinforced Rubber Hose Variant,standard,0.9595,0.9292,availability
101,Vitrified Tile,Porcelain Tile Variant,premium,1.1110000000000002,1.1918,water resistance
102,Handles,Aluminium Handle Variant,standard,0.9595,0.909,cost reduction
103,Spacer,Plastic Spacer Variant Variant,standard,0.91809,0.91809,cost saving
104,Brush,Mechanical Brush Variant,premium,1.1312000000000002,1.212,faster cleaning
105,Ball Valve,Angle Valve Variant,premium,1.0605,1.1110000000000002,better control
106,Vitrified Tile,Porcelain Tile Variant Variant,premium,1.1221100000000002,1.203718,water resistance
107,Plywood,MDF Board Variant,standard,0.9292,0.8888,cost reduction
108,Copper Wire,FRLS Copper Wire Premium Variant,premium,1.1312000000000002,1.212,fire safety
109,Edge Band,PVC Edge Band Premium Variant,premium,1.0706,1.1312000000000002,finish quality
110,Adhesive,Tile Adhesive Premium Variant,premium,1.0908,1.1918,bond strength
111,Junction Box,PVC Junction Box Variant Variant,standard,0.969095,0.938492,availability
112,Copper Wire,Copper Cable Heavy Duty Variant,premium,1.1615,1.2625,high load areas
113,Plywood,Block Board Variant,premium,1.0605,1.1312000000000002,better strength
114,Plywood,Block Board Variant Variant,premium,1.071105,1.1425120000000002,better strength
115,CPVC Pipe,GI Pipe Variant Variant,economy,0.897688,0.8670849999999999,cost saving
116,Ball Valve,Brass Ball Valve Variant,premium,1.1312000000000002,1.1918,durability
117,UPVC Pipe,CPVC Pipe Variant Variant Variant,standard,0.97878595,0.94787692,cost reduction
118,Cleaning Chemical - Type 2,Bio Cleaning Chemical Variant,premium,1.1110000000000002,1.1514,eco friendly
119,Edge Band,PVC Edge Band Premium Variant,premium,1.0706,1.1312000000000002,finish quality
120,UPVC Pipe,CPVC Pipe Variant Variant,standard,0.969095,0.938492,cost reduction
121,Spacer,Plastic Spacer Variant,standard,0.909,0.909,cost saving
122,UPVC Pipe,PPR Pipe Variant Variant,premium,1.071105,1.1221100000000002,hot water usage
123,Tile Grout,Epoxy Grout Variant,premium,1.1312000000000002,1.1615,chemical resistance
124,Hose,Reinforced Rubber Hose Variant Variant,standard,0.969095,0.938492,availability
125,Copper Wire,Aluminium Wire Variant,standard,0.7878000000000001,0.808,cost saving
126,Solvent Cement,UPVC Solvent Cement Variant,standard,0.9797,0.9292,availability
127,UPVC Pipe,CPVC Pipe Variant Variant Variant,standard,0.97878595,0.94787692,cost reduction
128,Junction Box,PVC Junction Box Variant Variant,standard,0.969095,0.938492,availability
129,Handles,Stainless Steel Handle Variant,premium,1.1110000000000002,1.1615,durability
130,Laminate,Veneer Variant Variant,premium,1.091507,1.162914,better finish
131,Tile Adhesive,Tile Adhesive Premium Variant,premium,1.1110000000000002,1.1918,better bonding
132,Handles,Stainless Steel Handle Variant,premium,1.1110000000000002,1.1615,durability
133,Handles,Stainless Steel Handle Variant Variant,premium,1.1221100000000002,1.173115,durability
134,Ball Valve,Angle Valve Variant,premium,1.0605,1.1110000000000002,better control
135,Tile Grout,Epoxy Grout Variant Variant,premium,1.1425120000000002,1.173115,chemical resistance
136,Hinges,Soft Close Hinges Variant,premium,1.1615,1.212,user comfort
137,UPVC Pipe,CPVC Pipe Variant Variant Variant,standard,0.97878595,0.94787692,cost reduction
138,CPVC Elbow,PPR Elbow Variant,premium,1.0605,1.1110000000000002,durability
139,Vitrified Tile,Porcelain Tile Variant,premium,1.1110000000000002,1.1918,water resistance
140,Vitrified Tile,Porcelain Tile Variant Variant Variant,premium,1.1333311,1.2157551800000002,water resistance
141,CPVC Pipe,PPR Pipe Variant Variant Variant,premium,1.1333311,1.11272508,supply shortage
142,UPVC Pipe,CPVC Pipe Variant Variant Variant Variant,standard,0.9885738095,0.9573556892,cost reduction
143,Cleaning Chemical - Type 2,Bio Cleaning Chemical Variant Variant,premium,1.1221100000000002,1.162914,eco friendly
144,Handles,Aluminium Handle Variant,standard,0.9595,0.909,cost reduction
145,Plywood,MDF Board Variant Variant,standard,0.938492,0.897688,cost reduction
146,Vitrified Tile,Porcelain Tile Variant Variant Variant Variant,premium,1.1446644110000002,1.2279127318000005,water resistance
147,CPVC Pipe,GI Pipe Variant Variant,economy,0.897688,0.8670849999999999,cost saving
148,CPVC Pipe,PPR Pipe Variant Variant,premium,1.1221100000000002,1.101708,supply shortage
149,Disinfectant,Chlorine Based Disinfectant Variant,standard,0.9595,0.909,cost saving
150,Laminate,PVC Laminate Variant,standard,0.9595,0.909,moisture resistance
NEW-Emu1,Emulsion Paint,Emulsion Paint Alt,standard,1.0,1.0,generic alternative
NEW-Pri1,Primer,Primer Alt,standard,1.0,1.0,generic alternative
NEW-Put1,Putty,Putty Alt,standard,1.0,1.0,generic alternative
NEW-Rol1,Roller,Roller Alt,standard,1.0,1.0,generic alternative
