boq_text,industry,subcategory,quantity,unit,project_type,season,region,tasks,stages
Laying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,118,rmt,Industrial,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing reinforcement steel piping network with complete materials,Plumbing,Piping,136,rmt,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,372,sqm,Residential,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing ceramic tiles piping network including joint treatment,Plumbing,Piping,352,kg,Residential,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,107,sqm,Residential,festival,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing reinforcement steel piping network including finishing,Plumbing,Piping,354,sqm,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing ceramic tiles flooring with adhesive including primer coat,Interior,Tiling,81,kg,Residential,monsoon,west,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with cement concrete conduits with complete materials,Electrical,Wiring,35,sqm,Residential,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using ceramic tiles in structural members with curing,Infra,RCC,472,sqm,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using gypsum boards in structural members with curing,Infra,RCC,366,kg,Residential,normal,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing electrical wiring with acrylic paint conduits as per specifications,Electrical,Wiring,39,sqm,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,445,rmt,Residential,festival,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing electrical wiring with wooden panels conduits with surface preparation,Electrical,Wiring,306,sqm,Industrial,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools as per specifications,Tank Cleaning,Tank,132,nos,Commercial,normal,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using acrylic paint in structural members including primer coat,Infra,RCC,328,sqm,Residential,festival,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,460,rmt,Commercial,monsoon,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using acrylic paint in structural members including joint treatment,Infra,RCC,487,sqm,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying gypsum boards flooring with adhesive with surface preparation,Interior,Tiling,377,nos,Residential,festival,east,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools with complete materials,Tank Cleaning,Tank,334,kg,Commercial,normal,south,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying vitrified tiles piping network including primer coat,Plumbing,Piping,292,kg,Industrial,normal,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing acrylic paint flooring with adhesive as per specifications,Interior,Tiling,308,rmt,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying GI channels piping network with surface preparation,Plumbing,Piping,359,rmt,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools as per standards,Tank Cleaning,Tank,419,rmt,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing gypsum boards piping network as per standards,Plumbing,Piping,413,sqm,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with GI channels conduits including joint treatment,Electrical,Wiring,430,rmt,Residential,normal,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using emulsion paint in structural members including joint treatment,Infra,RCC,189,kg,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying two coats of vitrified tiles on wall surface including joint treatment,Interior,Painting,29,sqm,Industrial,monsoon,east,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing emulsion paint piping network with curing,Plumbing,Piping,470,rmt,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating PVC pipes flooring with adhesive with complete materials,Interior,Tiling,495,nos,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing GI channels piping network with curing,Plumbing,Piping,366,nos,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing RCC work using wooden panels in structural members including joint treatment,Infra,RCC,217,sqm,Commercial,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing RCC work using reinforcement steel in structural members including primer coat,Infra,RCC,355,rmt,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing and fixing of laminated boards for woodwork as per specifications,Interior,Carpentry,57,rmt,Industrial,monsoon,north,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with acrylic paint conduits with surface preparation,Electrical,Wiring,253,sqm,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with PVC pipes conduits with surface preparation,Electrical,Wiring,85,sqm,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying electrical wiring with cement concrete conduits with surface preparation,Electrical,Wiring,479,sqm,Commercial,normal,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,435,kg,Residential,festival,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing RCC work using laminated boards in structural members including joint treatment,Infra,RCC,402,kg,Industrial,normal,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying RCC work using ceramic tiles in structural members including joint treatment,Infra,RCC,181,nos,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with vitrified tiles conduits with surface preparation,Electrical,Wiring,42,kg,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying RCC work using ceramic tiles in structural members with curing,Infra,RCC,209,sqm,Industrial,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying and fixing of PVC pipes for woodwork with curing,Interior,Carpentry,285,rmt,Commercial,normal,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying RCC work using PVC pipes in structural members as per specifications,Infra,RCC,352,kg,Industrial,normal,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Preparing electrical wiring with wooden panels conduits including finishing,Electrical,Wiring,52,kg,Residential,monsoon,north,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Preparing and fixing of GI channels for woodwork with surface preparation,Interior,Carpentry,242,nos,Commercial,monsoon,east,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using reinforcement steel in structural members including finishing,Infra,RCC,393,sqm,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing two coats of ceramic tiles on wall surface including finishing,Interior,Painting,328,rmt,Residential,normal,west,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing gypsum boards flooring with adhesive as per specifications,Interior,Tiling,95,sqm,Residential,monsoon,south,"[""site measurement"", ""layout marking"", ""adhesive application"", ""tile laying"", ""grouting"", ""edge finishing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,213,rmt,Residential,festival,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing and fixing of wooden panels for woodwork including finishing,Interior,Carpentry,187,kg,Industrial,monsoon,south,"[""site measurement"", ""layout marking"", ""frame fabrication"", ""panel installation"", ""screw fixing"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Applying tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,64,kg,Commercial,festival,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing electrical wiring with cement concrete conduits including joint treatment,Electrical,Wiring,325,kg,Commercial,monsoon,central,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing emulsion paint piping network including joint treatment,Plumbing,Piping,461,kg,Residential,monsoon,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,445,nos,Residential,monsoon,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating gypsum boards piping network including joint treatment,Plumbing,Piping,294,sqm,Industrial,normal,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with cement concrete conduits with surface preparation,Electrical,Wiring,363,kg,Industrial,festival,west,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing RCC work using gypsum boards in structural members with surface preparation,Infra,RCC,217,rmt,Commercial,festival,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing cement concrete piping network as per specifications,Plumbing,Piping,227,nos,Commercial,festival,west,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying ceramic tiles piping network with complete materials,Plumbing,Piping,379,rmt,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Installing electrical wiring with reinforcement steel conduits including joint treatment,Electrical,Wiring,380,nos,Residential,normal,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing electrical wiring with gypsum boards conduits including finishing,Electrical,Wiring,372,rmt,Commercial,normal,south,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,62,sqm,Industrial,monsoon,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using vitrified tiles in structural members including finishing,Infra,RCC,139,kg,Residential,normal,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying RCC work using vitrified tiles in structural members as per standards,Infra,RCC,425,nos,Residential,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,240,kg,Commercial,festival,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing ceramic tiles piping network with surface preparation,Plumbing,Piping,145,sqm,Residential,normal,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,240,kg,Commercial,normal,north,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing emulsion paint piping network with surface preparation,Plumbing,Piping,483,nos,Industrial,festival,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using ceramic tiles in structural members as per standards,Infra,RCC,475,nos,Residential,normal,south,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Laying electrical wiring with reinforcement steel conduits with complete materials,Electrical,Wiring,249,nos,Industrial,monsoon,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing tank cleaning using chemicals and tools including finishing,Tank Cleaning,Tank,465,kg,Industrial,monsoon,central,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Providing ceramic tiles piping network including finishing,Plumbing,Piping,401,nos,Industrial,normal,north,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Laying RCC work using vitrified tiles in structural members with curing,Infra,RCC,335,kg,Residential,monsoon,east,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Fabricating RCC work using laminated boards in structural members with complete materials,Infra,RCC,449,rmt,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Constructing acrylic paint piping network including primer coat,Plumbing,Piping,55,nos,Commercial,monsoon,south,"[""site measurement"", ""layout marking"", ""pipe cutting"", ""pipe installation"", ""joint sealing"", ""pressure testing"", ""finishing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Constructing RCC work using reinforcement steel in structural members with curing,Infra,RCC,37,rmt,Industrial,monsoon,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Applying RCC work using ceramic tiles in structural members including joint treatment,Infra,RCC,291,rmt,Commercial,monsoon,west,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Installing two coats of vitrified tiles on wall surface including joint treatment,Interior,Painting,292,sqm,Industrial,monsoon,south,"[""site measurement"", ""surface preparation"", ""putty application"", ""primer application"", ""paint coat 1"", ""paint coat 2"", ""finishing"", ""touchup""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Executing electrical wiring with emulsion paint conduits as per standards,Electrical,Wiring,265,nos,Industrial,festival,east,"[""site measurement"", ""layout marking"", ""conduit installation"", ""cable pulling"", ""junction box fixing"", ""db fabrication"", ""testing and earthing""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Executing RCC work using ceramic tiles in structural members including primer coat,Infra,RCC,292,rmt,Commercial,normal,central,"[""site measurement"", ""layout marking"", ""excavation"", ""rebar placement"", ""formwork setup"", ""concrete pouring"", ""vibrating and finishing"", ""curing""]","[1, 2, 3, 3, 3, 3, 3, 4, 5]"
Providing tank cleaning using chemicals and tools with curing,Tank Cleaning,Tank,184,nos,Residential,monsoon,east,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
Fixing tank cleaning using chemicals and tools including primer coat,Tank Cleaning,Tank,186,nos,Industrial,festival,west,"[""site inspection"", ""sludge removal"", ""scrubbing"", ""chemical cleaning"", ""rinsing"", ""disinfection"", ""drying""]","[1, 2, 3, 3, 3, 3, 4, 5]"
