boq_id,category,material,quantity,unit,length_ft,width_ft,area_sqft,region,season,grade,consumption_rules
BOQ-0027,Civil,RCC Concrete,353.01,cft,49.29,9.43,,west,summer,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0028,Painting,Acrylic Paint,135.59,sqft,25.19,23.98,604.06,east,winter,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0029,Tiling,Ceramic Tiles,413.61,sqft,43.52,9.41,409.52,central,normal,Standard,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0030,Painting,Acrylic Paint,232.89,sqft,26.66,43.91,1170.64,north,monsoon,Premium,{'paint_litre_per_sqft': 0.018}
BOQ-0031,Tiling,Ceramic Tiles,169.34,sqft,40.28,25.48,1026.33,west,winter,Standard,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0032,Painting,Emulsion Paint,147.97,sqft,7.63,38.11,290.78,north,summer,Standard,{'paint_litre_per_sqft': 0.02}
BOQ-0033,Tiling,Granite Tiles,264.55,sqft,46.37,28.9,1340.09,north,normal,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0034,Tiling,Granite Tiles,80.58,sqft,43.78,23.17,1014.38,central,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0035,Electrical,PVC Conduit,328.72,rft,23.87,31.27,,central,summer,Premium,{'conduit_rft_per_rft': 1}
BOQ-0036,Painting,Putty,372.29,sqft,15.74,22.81,359.03,east,winter,Premium,{'putty_kg_per_sqft': 0.12}
BOQ-0037,Tiling,Vitrified Tiles,256.23,sqft,49.93,49.82,2487.51,north,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0038,Carpentry,Plywood,469.97,sqft,44.64,44.57,1989.6,east,summer,Standard,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0039,Plumbing,GI Pipe,366.59,rft,32.53,49.43,,central,normal,Economy,{'pipe_rft_per_rft': 1}
BOQ-0040,Electrical,Copper Wire,469.29,rft,9.66,44.52,,east,normal,Standard,{'wire_rft_per_rft': 1}
BOQ-0041,Civil,Reinforced Steel,119.95,cft,17.68,14.48,,east,monsoon,Economy,{'steel_kg_per_cft': 5}
BOQ-0042,Civil,Cement Plaster,277.43,cft,16.3,45.87,,north,normal,Economy,{'cement_kg_per_sqft': 0.9}
BOQ-0043,Plumbing,UPVC Pipe,69.84,rft,20.01,10.89,,east,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0044,Plumbing,GI Pipe,367.55,rft,30.24,10.03,,south,normal,Premium,{'pipe_rft_per_rft': 1}
BOQ-0045,Electrical,MCB Unit,116.64,rft,10.74,18.87,,north,summer,Standard,{'units_per_project': 1}
BOQ-0046,Civil,RCC Concrete,350.12,cft,20.92,30.19,,west,monsoon,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0047,Painting,Acrylic Paint,446.64,sqft,6.12,38.15,233.48,east,winter,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0048,Civil,RCC Concrete,170.06,cft,40.43,9.86,,north,winter,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0049,Painting,Emulsion Paint,207.35,sqft,41.92,44.21,1853.28,south,normal,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0050,Painting,Emulsion Paint,197.72,sqft,43.9,48.51,2129.59,east,summer,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0051,Electrical,Copper Wire,355.78,rft,42.96,19.9,,north,normal,Premium,{'wire_rft_per_rft': 1}
BOQ-0052,Painting,Putty,483.14,sqft,16.95,9.88,167.47,west,summer,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0053,Carpentry,Laminate,322.79,sqft,28.01,22.33,625.46,central,monsoon,Premium,{'laminate_sheets_per_sqft': 0.028}
BOQ-0054,Tiling,Granite Tiles,246.23,sqft,28.4,41.29,1172.64,south,summer,Premium,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0055,Tiling,Granite Tiles,464.35,sqft,33.04,34.85,1151.44,north,summer,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0056,Carpentry,Edge Banding,233.78,sqft,23.11,18.3,422.91,south,monsoon,Premium,{'edgeband_m_per_sqft': 0.9}
BOQ-0057,Civil,Cement Plaster,354.79,cft,45.63,32.7,,east,winter,Economy,{'cement_kg_per_sqft': 0.9}
BOQ-0058,Tiling,Ceramic Tiles,179.11,sqft,24.34,31.1,756.97,east,winter,Premium,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0059,Plumbing,GI Pipe,146.17,rft,26.29,45.55,,south,normal,Premium,{'pipe_rft_per_rft': 1}
BOQ-0060,Electrical,MCB Unit,334.82,rft,20.08,41.83,,south,summer,Standard,{'units_per_project': 1}
BOQ-0061,Painting,Acrylic Paint,60.99,sqft,16.02,26.38,422.61,north,winter,Premium,{'paint_litre_per_sqft': 0.018}
BOQ-0062,Civil,Reinforced Steel,137.5,cft,36.34,27.25,,south,monsoon,Economy,{'steel_kg_per_cft': 5}
BOQ-0063,Civil,RCC Concrete,451.7,cft,43.72,44.85,,west,monsoon,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0064,Civil,Reinforced Steel,259.05,cft,30.08,46.29,,north,winter,Standard,{'steel_kg_per_cft': 5}
BOQ-0065,Plumbing,GI Pipe,289.01,rft,30.15,19.28,,west,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0066,Plumbing,CPVC Pipe,384.64,rft,26.36,16.66,,south,summer,Economy,{'pipe_rft_per_rft': 1}
BOQ-0067,Plumbing,GI Pipe,157.66,rft,24.79,37.11,,south,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0068,Carpentry,Edge Banding,86.26,sqft,11.79,22.24,262.21,south,monsoon,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0069,Plumbing,UPVC Pipe,198.9,rft,25.97,7.8,,west,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0070,Civil,RCC Concrete,435.53,cft,39.45,22.12,,north,summer,Premium,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0071,Plumbing,UPVC Pipe,292.2,rft,38.06,40.99,,south,winter,Standard,{'pipe_rft_per_rft': 1}
BOQ-0072,Carpentry,Laminate,268.54,sqft,22.5,35.1,789.75,west,monsoon,Premium,{'laminate_sheets_per_sqft': 0.028}
BOQ-0073,Painting,Putty,290.36,sqft,45.81,31.64,1449.43,north,normal,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0074,Plumbing,CPVC Pipe,440.08,rft,13.18,16.71,,east,monsoon,Premium,{'pipe_rft_per_rft': 1}
BOQ-0075,Carpentry,Laminate,392.55,sqft,22.06,38.84,856.81,west,summer,Standard,{'laminate_sheets_per_sqft': 0.028}
BOQ-0076,Plumbing,CPVC Pipe,387.06,rft,7.34,47.84,,south,normal,Economy,{'pipe_rft_per_rft': 1}
BOQ-0077,Tiling,Vitrified Tiles,477.33,sqft,13.97,5.92,82.7,south,monsoon,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0078,Plumbing,GI Pipe,101.48,rft,47.65,25.93,,east,summer,Standard,{'pipe_rft_per_rft': 1}
BOQ-0079,Electrical,MCB Unit,483.68,rft,37.33,40.0,,south,summer,Standard,{'units_per_project': 1}
BOQ-0080,Electrical,PVC Conduit,468.0,rft,30.91,45.86,,west,winter,Economy,{'conduit_rft_per_rft': 1}
BOQ-0081,Painting,Acrylic Paint,316.44,sqft,42.38,15.93,675.11,east,normal,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0082,Tiling,Ceramic Tiles,289.74,sqft,34.77,8.1,281.64,east,normal,Premium,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0083,Plumbing,CPVC Pipe,245.09,rft,21.3,45.12,,west,monsoon,Premium,{'pipe_rft_per_rft': 1}
BOQ-0084,Painting,Putty,284.79,sqft,34.27,32.72,1121.31,central,winter,Premium,{'putty_kg_per_sqft': 0.12}
BOQ-0085,Plumbing,GI Pipe,316.61,rft,19.5,16.05,,north,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0086,Painting,Emulsion Paint,306.43,sqft,35.07,20.14,706.31,west,summer,Standard,{'paint_litre_per_sqft': 0.02}
BOQ-0087,Plumbing,CPVC Pipe,209.67,rft,16.63,17.58,,central,summer,Economy,{'pipe_rft_per_rft': 1}
BOQ-0088,Tiling,Granite Tiles,476.63,sqft,8.85,37.4,330.99,west,monsoon,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0089,Plumbing,GI Pipe,370.33,rft,25.17,5.78,,east,monsoon,Premium,{'pipe_rft_per_rft': 1}
BOQ-0090,Civil,RCC Concrete,187.79,cft,31.17,26.3,,central,summer,Premium,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0091,Civil,Reinforced Steel,198.86,cft,36.63,17.19,,east,monsoon,Standard,{'steel_kg_per_cft': 5}
BOQ-0092,Civil,RCC Concrete,192.0,cft,38.43,47.79,,south,monsoon,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0093,Civil,Cement Plaster,174.42,cft,31.53,39.21,,central,summer,Standard,{'cement_kg_per_sqft': 0.9}
BOQ-0094,Painting,Emulsion Paint,152.37,sqft,13.07,5.64,73.71,central,monsoon,Premium,{'paint_litre_per_sqft': 0.02}
BOQ-0095,Tiling,Vitrified Tiles,299.01,sqft,36.38,10.68,388.54,west,normal,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0096,Electrical,Copper Wire,261.23,rft,24.82,13.3,,north,summer,Premium,{'wire_rft_per_rft': 1}
BOQ-0097,Tiling,Vitrified Tiles,230.32,sqft,8.33,33.33,277.64,north,monsoon,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0098,Electrical,Copper Wire,88.33,rft,16.17,30.11,,west,monsoon,Economy,{'wire_rft_per_rft': 1}
BOQ-0099,Plumbing,UPVC Pipe,458.83,rft,18.38,31.48,,west,summer,Economy,{'pipe_rft_per_rft': 1}
BOQ-0100,Electrical,PVC Conduit,324.33,rft,38.3,47.64,,south,monsoon,Premium,{'conduit_rft_per_rft': 1}
BOQ-0101,Civil,RCC Concrete,120.68,cft,12.82,8.38,,north,winter,Premium,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0102,Civil,Reinforced Steel,261.46,cft,6.47,17.96,,east,winter,Standard,{'steel_kg_per_cft': 5}
BOQ-0103,Civil,RCC Concrete,465.76,cft,40.45,33.13,,south,winter,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0104,Electrical,PVC Conduit,341.44,rft,45.88,42.2,,north,normal,Standard,{'conduit_rft_per_rft': 1}
BOQ-0105,Carpentry,Edge Banding,387.03,sqft,30.61,17.99,550.67,north,winter,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0106,Carpentry,Edge Banding,231.13,sqft,17.25,29.3,505.43,west,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0107,Tiling,Ceramic Tiles,380.54,sqft,32.17,6.16,198.17,south,normal,Economy,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0108,Carpentry,Edge Banding,68.1,sqft,39.03,26.17,1021.42,west,summer,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0109,Electrical,Copper Wire,335.65,rft,27.13,9.11,,east,winter,Premium,{'wire_rft_per_rft': 1}
BOQ-0110,Carpentry,Edge Banding,97.07,sqft,12.24,23.52,287.88,west,summer,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0111,Plumbing,GI Pipe,66.51,rft,8.96,16.36,,north,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0112,Tiling,Granite Tiles,441.22,sqft,25.79,7.44,191.88,central,summer,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0113,Plumbing,GI Pipe,248.92,rft,7.32,17.02,,south,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0114,Civil,Cement Plaster,104.64,cft,48.79,32.4,,south,monsoon,Premium,{'cement_kg_per_sqft': 0.9}
BOQ-0115,Electrical,PVC Conduit,298.51,rft,9.19,49.65,,north,winter,Standard,{'conduit_rft_per_rft': 1}
BOQ-0116,Civil,RCC Concrete,274.27,cft,37.25,27.9,,east,winter,Premium,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0117,Plumbing,CPVC Pipe,255.55,rft,11.51,13.58,,central,monsoon,Standard,{'pipe_rft_per_rft': 1}
BOQ-0118,Carpentry,Laminate,202.94,sqft,40.45,17.02,688.46,north,summer,Economy,{'laminate_sheets_per_sqft': 0.028}
BOQ-0119,Carpentry,Edge Banding,310.97,sqft,34.7,43.94,1524.72,west,winter,Premium,{'edgeband_m_per_sqft': 0.9}
BOQ-0120,Carpentry,Edge Banding,393.29,sqft,21.97,46.98,1032.15,south,monsoon,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0121,Plumbing,CPVC Pipe,435.21,rft,23.48,19.32,,west,winter,Premium,{'pipe_rft_per_rft': 1}
BOQ-0122,Civil,Reinforced Steel,491.37,cft,27.29,6.67,,central,summer,Standard,{'steel_kg_per_cft': 5}
BOQ-0123,Plumbing,CPVC Pipe,286.68,rft,25.56,37.51,,west,monsoon,Standard,{'pipe_rft_per_rft': 1}
BOQ-0124,Plumbing,UPVC Pipe,202.35,rft,36.17,34.24,,east,winter,Premium,{'pipe_rft_per_rft': 1}
BOQ-0125,Civil,Reinforced Steel,449.35,cft,26.96,29.35,,central,normal,Standard,{'steel_kg_per_cft': 5}
BOQ-0126,Civil,Reinforced Steel,464.42,cft,49.88,38.6,,west,normal,Economy,{'steel_kg_per_cft': 5}
BOQ-0127,Civil,RCC Concrete,249.66,cft,36.23,45.65,,north,summer,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0128,Carpentry,Laminate,218.68,sqft,11.55,28.9,333.8,central,monsoon,Standard,{'laminate_sheets_per_sqft': 0.028}
BOQ-0129,Painting,Acrylic Paint,324.27,sqft,22.21,35.74,793.79,west,monsoon,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0130,Plumbing,GI Pipe,164.29,rft,16.49,5.42,,west,summer,Economy,{'pipe_rft_per_rft': 1}
BOQ-0131,Electrical,PVC Conduit,83.24,rft,47.54,49.44,,east,winter,Economy,{'conduit_rft_per_rft': 1}
BOQ-0132,Carpentry,Laminate,430.39,sqft,13.96,22.31,311.45,west,normal,Standard,{'laminate_sheets_per_sqft': 0.028}
BOQ-0133,Plumbing,GI Pipe,211.53,rft,18.31,36.47,,north,winter,Premium,{'pipe_rft_per_rft': 1}
BOQ-0134,Tiling,Granite Tiles,439.28,sqft,40.02,48.81,1953.38,central,winter,Premium,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0135,Painting,Putty,410.87,sqft,14.86,13.56,201.5,east,monsoon,Economy,{'putty_kg_per_sqft': 0.12}
BOQ-0136,Tiling,Granite Tiles,340.85,sqft,18.9,24.84,469.48,central,summer,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0137,Painting,Acrylic Paint,459.33,sqft,19.7,23.7,466.89,south,monsoon,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0138,Carpentry,Edge Banding,275.81,sqft,17.26,12.4,214.02,west,summer,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0139,Carpentry,Plywood,260.75,sqft,8.39,38.94,326.71,south,winter,Economy,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0140,Carpentry,Plywood,405.81,sqft,5.63,29.15,164.11,west,summer,Economy,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0141,Civil,Reinforced Steel,167.97,cft,22.15,33.73,,east,normal,Economy,{'steel_kg_per_cft': 5}
BOQ-0142,Painting,Emulsion Paint,61.26,sqft,44.79,30.26,1355.35,central,monsoon,Economy,{'paint_litre_per_sqft': 0.02}
BOQ-0143,Tiling,Granite Tiles,420.73,sqft,45.92,18.6,854.11,west,normal,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0144,Tiling,Vitrified Tiles,186.96,sqft,27.17,9.37,254.58,central,monsoon,Premium,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0145,Plumbing,UPVC Pipe,351.72,rft,38.44,47.57,,west,monsoon,Premium,{'pipe_rft_per_rft': 1}
BOQ-0146,Civil,RCC Concrete,425.16,cft,32.7,47.26,,east,normal,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0147,Carpentry,Plywood,249.52,sqft,47.77,43.5,2078.0,north,summer,Economy,{'plywood_sheets_per_sqft': 0.03125}
BOQ-0148,Civil,Cement Plaster,77.25,cft,17.41,48.57,,west,normal,Economy,{'cement_kg_per_sqft': 0.9}
BOQ-0149,Painting,Putty,337.77,sqft,48.7,7.28,354.54,east,monsoon,Standard,{'putty_kg_per_sqft': 0.12}
BOQ-0150,Electrical,PVC Conduit,80.87,rft,39.43,14.32,,south,monsoon,Premium,{'conduit_rft_per_rft': 1}
BOQ-0151,Painting,Putty,51.28,sqft,43.63,11.51,502.18,south,summer,Standard,{'putty_kg_per_sqft': 0.12}
BOQ-0152,Tiling,Granite Tiles,439.9,sqft,10.93,21.12,230.84,south,summer,Standard,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0153,Painting,Emulsion Paint,73.58,sqft,38.38,28.67,1100.35,north,winter,Premium,{'paint_litre_per_sqft': 0.02}
BOQ-0154,Carpentry,Edge Banding,317.15,sqft,25.34,14.97,379.34,central,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0155,Civil,Reinforced Steel,185.73,cft,33.95,6.4,,west,winter,Premium,{'steel_kg_per_cft': 5}
BOQ-0156,Civil,RCC Concrete,270.62,cft,45.94,8.31,,north,summer,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0157,Painting,Acrylic Paint,106.79,sqft,33.09,31.34,1037.04,east,winter,Economy,{'paint_litre_per_sqft': 0.018}
BOQ-0158,Electrical,Copper Wire,254.17,rft,32.24,9.46,,north,monsoon,Premium,{'wire_rft_per_rft': 1}
BOQ-0159,Plumbing,CPVC Pipe,236.22,rft,42.23,22.94,,north,summer,Premium,{'pipe_rft_per_rft': 1}
BOQ-0160,Carpentry,Edge Banding,164.7,sqft,47.91,35.91,1720.45,west,normal,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0161,Tiling,Vitrified Tiles,244.34,sqft,38.51,21.77,838.36,south,normal,Economy,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0162,Electrical,MCB Unit,198.34,rft,10.5,20.91,,west,normal,Premium,{'units_per_project': 1}
BOQ-0163,Electrical,Copper Wire,208.24,rft,31.01,14.57,,west,monsoon,Standard,{'wire_rft_per_rft': 1}
BOQ-0164,Carpentry,Edge Banding,215.4,sqft,39.32,30.83,1212.24,west,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0165,Civil,Reinforced Steel,170.35,cft,13.12,36.62,,east,summer,Premium,{'steel_kg_per_cft': 5}
BOQ-0166,Tiling,Vitrified Tiles,441.44,sqft,30.48,23.04,702.26,south,normal,Standard,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0167,Civil,Reinforced Steel,146.81,cft,23.89,20.34,,east,summer,Economy,{'steel_kg_per_cft': 5}
BOQ-0168,Carpentry,Edge Banding,318.3,sqft,44.75,12.0,537.0,central,normal,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0169,Tiling,Ceramic Tiles,249.4,sqft,24.08,32.32,778.27,west,summer,Standard,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0170,Electrical,PVC Conduit,205.33,rft,9.99,35.52,,central,winter,Economy,{'conduit_rft_per_rft': 1}
BOQ-0171,Civil,Cement Plaster,70.44,cft,22.79,31.97,,north,monsoon,Premium,{'cement_kg_per_sqft': 0.9}
BOQ-0172,Painting,Acrylic Paint,393.87,sqft,18.03,10.4,187.51,west,winter,Standard,{'paint_litre_per_sqft': 0.018}
BOQ-0173,Painting,Emulsion Paint,289.66,sqft,15.35,30.14,462.65,east,normal,Premium,{'paint_litre_per_sqft': 0.02}
BOQ-0174,Civil,RCC Concrete,246.3,cft,25.69,8.5,,east,winter,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0175,Plumbing,GI Pipe,338.06,rft,18.03,23.23,,east,monsoon,Economy,{'pipe_rft_per_rft': 1}
BOQ-0176,Plumbing,GI Pipe,463.9,rft,8.97,43.0,,south,winter,Economy,{'pipe_rft_per_rft': 1}
BOQ-0177,Plumbing,GI Pipe,85.39,rft,44.17,38.56,,south,summer,Standard,{'pipe_rft_per_rft': 1}
BOQ-0178,Tiling,Granite Tiles,334.95,sqft,28.88,13.73,396.52,east,summer,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0179,Civil,RCC Concrete,156.32,cft,11.59,13.88,,central,monsoon,Economy,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0180,Tiling,Vitrified Tiles,478.08,sqft,33.26,25.88,860.77,central,winter,Economy,"{'adhesive_kg_per_sqft': 0.5, 'grout_kg_per_sqft': 0.08}"
BOQ-0181,Electrical,MCB Unit,335.88,rft,33.1,43.89,,east,monsoon,Premium,{'units_per_project': 1}
BOQ-0182,Tiling,Ceramic Tiles,248.99,sqft,18.63,17.36,323.42,north,summer,Economy,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0183,Tiling,Ceramic Tiles,257.78,sqft,6.69,21.59,144.44,east,normal,Economy,"{'adhesive_kg_per_sqft': 0.45, 'grout_kg_per_sqft': 0.07}"
BOQ-0184,Tiling,Granite Tiles,317.34,sqft,22.3,31.11,693.75,north,winter,Economy,"{'adhesive_kg_per_sqft': 0.65, 'grout_kg_per_sqft': 0.1}"
BOQ-0185,Civil,RCC Concrete,194.69,cft,26.4,11.79,,north,winter,Standard,"{'cement_bags_per_cft': 0.12, 'steel_kg_per_cft': 4}"
BOQ-0186,Carpentry,Edge Banding,87.95,sqft,34.08,6.76,230.38,west,winter,Economy,{'edgeband_m_per_sqft': 0.9}
BOQ-0187,Electrical,MCB Unit,121.44,rft,21.78,17.73,,west,summer,Economy,{'units_per_project': 1}
BOQ-0188,Electrical,PVC Conduit,405.15,rft,34.13,7.97,,north,winter,Premium,{'conduit_rft_per_rft': 1}
BOQ-0189,Carpentry,Edge Banding,433.2,sqft,48.4,32.12,1554.61,south,summer,Standard,{'edgeband_m_per_sqft': 0.9}
BOQ-0190,Electrical,MCB Unit,113.64,rft,20.74,48.55,,west,monsoon,Economy,{'units_per_project': 1}
